Beat,Ward,Community Area,X Coordinate,Y Coordinate,Latitude,Longitude,Distance Crime To Police Station,Day_sin,Season_Autumn,Season_Spring,Season_Summer,Season_Winter,Day Time_Afternoon,Day Time_Early Morning,Day Time_Morning,Day Time_Night,Domestic_tag,IUCR_freq,Primary_Type_freq,Location_Description_freq,FBI_Code_freq,Crime_District_freq,Nearest_Police_Station_District_freq,Nearest_Police_Station_District_Name_freq,Arrest_tag
1211,36,23,1156058.0,1905752.0,41.897174047,-87.70548813,7.876632163582824,-2.4492935982947064e-16,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0100998513700884,0.0661053975600754,0.1925355863898891,0.0730231723009705,0.0624594759049965,0.0565442049297249,0.0565442049297249,0
512,9,49,1177515.0,1836667.0,41.707138259,-87.60450587,7.772373552902384,0.4338837391175582,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0475665592674241,0.1117317878482578,0.1214376203253897,0.1117317878482578,0.0398008957695338,0.0359305329728974,0.0359305329728974,0
411,8,45,1186225.0,1853807.0,41.753971396,-87.60574786,7.460816551717741,0.9749279121818236,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.0016309389619846,0.0331075621701962,0.1214376203253897,0.0300701253877844,0.0537960478408762,0.0944747578529461,0.0944747578529461,0
1225,27,28,1162234.0,1898677.0,41.877632759,-87.70548813,7.687934034601518,0.9749279121818236,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0.0599656854432463,0.1117317878482578,0.2733992359026025,0.1117317878482578,0.0624594759049965,0.0565442049297249,0.0565442049297249,0
1935,43,7,1170479.0,1918046.0,41.930606152,-87.65151202,7.538256181142735,0.7818314824680298,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0.0204790072718929,0.2280521501461361,0.0236560963201627,0.2310895869285479,0.0526888048758591,0.0481151931690091,0.0481151931690091,0
2534,36,23,1147651.0,1908979.0,41.90619481,-87.76557448,8.016430309726164,0.7818314824680298,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0748835399854362,0.2280521501461361,0.1925355863898891,0.2310895869285479,0.0517062514339295,0.0503945176510488,0.0503945176510488,0
215,3,38,1178501.0,1873910.0,41.809314925,-87.63056018,7.059184405362276,0.7818314824680298,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.0599656854432463,0.1117317878482578,0.0340153018982733,0.1117317878482578,0.0506239463735299,0.0432423266067492,0.0432423266067492,0
321,20,42,1184030.0,1861215.0,41.774351207,-87.60574786,6.874993928730264,0.9749279121818236,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.0628185817314885,0.0854671867051043,0.2733992359026025,0.0854671867051043,0.051571586748995,0.0944747578529461,0.0944747578529461,0
2233,21,49,1172930.0,1832289.0,41.69522655,-87.66852039,7.700908465681592,0.7818314824680298,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.0010773174794761,0.1797075282546459,0.0027132440223842,0.1492034833265169,0.0311075422198725,0.0273269558798591,0.0273269558798591,0
1911,40,4,1157971.0,1931783.0,41.968566101,-87.69284451,7.113900750606981,-2.4492935982947064e-16,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0712974693014394,0.2280521501461361,0.2733992359026025,0.2310895869285479,0.0526888048758591,0.0224391265748286,0.0224391265748286,0
1911,47,4,1160731.0,1929529.0,41.962324098,-87.69284451,7.619273013750415,0.4338837391175582,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0115462498379036,0.0191074225179303,0.0013316841065746,0.0730231723009705,0.0526888048758591,0.0224391265748286,0.0224391265748286,0
1811,2,7,1167012.0,1915406.0,41.923437082,-87.64335214,7.906390662867589,-2.4492935982947064e-16,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0.0599656854432463,0.1117317878482578,0.2733992359026025,0.1117317878482578,0.0508783130006284,0.0895719658051451,0.0895719658051451,0
2023,48,77,1167674.0,1936687.0,41.981818758,-87.67132429,7.719428171515194,-0.433883739117558,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0090674221189238,0.2280521501461361,0.0340153018982733,0.2310895869285479,0.0220201697772546,0.0386437769952817,0.0386437769952817,0
222,4,39,1186776.0,1871835.0,41.803428707,-87.63056018,8.111689604594051,-0.9749279121818236,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0628185817314885,0.0854671867051043,0.2733992359026025,0.0854671867051043,0.0506239463735299,0.0432423266067492,0.0432423266067492,0
1224,27,28,1167746.0,1899539.0,41.879881193,-87.65697251,7.544590259434484,0.9749279121818236,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0090674221189238,0.2280521501461361,0.2733992359026025,0.2310895869285479,0.0624594759049965,0.0319155303294795,0.0319155303294795,0
1125,27,28,1159936.0,1898622.0,41.877529542,-87.70548813,7.313184308266055,-2.4492935982947064e-16,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,0.0799658849464832,0.1797075282546459,0.0236560963201627,0.1492034833265169,0.0531476623208211,0.0565442049297249,0.0565442049297249,0
